"Y7B04UT#ABA","https://www.cdw.com/shop/products/HP-SB-800-G2-I5-6500-256GB-8GB-W710/4829662.aspx?pfm=srh","HP SB 800 G2 I5-6500 256GB 8GB W710","HP Inc","4829662","All-in-one1 x Core i5 6500 / 3.2 GHzRAM 8 GBSSD 256 GBDVD SuperMultiHD Graphics 530GigE","Call","$813.99","https://webobjects2.cdw.com/is/image/CDW/4276846?$product-main$","Y7B04UT#ABA.jpg","8.3 in","21.6 in","25.33 lbs","22.3 in"
"V2W71UT#ABA","https://www.cdw.com/shop/products/HP-SB-840-G3-I7-6500U-512GB-16GB-W71/4793252.aspx?pfm=srh","HP SB 840 G3 I7-6500U 512GB 16GB W71","HP Inc","4793252","Core i7 6500U / 2.5 GHzWin 10 Pro 64-bit16 GB RAM512 GB SSD14"" IPS 2560 x 1440 (QHD+)HD Graphics 520Wi-Fi","$1,697.99","$1,039.99","https://webobjects2.cdw.com/is/image/CDW/4023161?$product-main$","V2W71UT#ABA.jpg","9.3 in","0.7 in","3.4 lbs","13.3 in"
"C202SA-YS02-GR","https://www.cdw.com/shop/products/ASUS-C202-11-N3060-16GB-4GB-CHROME/4833959.aspx?pfm=srh","ASUS C202 11 N3060 16GB 4GB CHROME","Asus","4833959","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" 1366 x 768 (HD)HD Graphics 400802.11ac","$228.99","$169.99","https://webobjects2.cdw.com/is/image/CDW/4554575?$product-main$","C202SA-YS02-GR.jpg","7.9 in","0.9 in","35.2 oz","11.6 in"
"Z0UD-2102745034","https://www.cdw.com/shop/products/APPLE-MBP-TB-15.4-SL-2.8-512GB-RP555/4811789.aspx?pfm=srh","APPLE MBP TB 15.4 SL 2.8 512GB RP555","Apple","4811789","null","$2,707.99","$2,163.99","https://webobjects2.cdw.com/is/image/CDW/4647962?$product-main$","Z0UD-2102745034.jpg","null","null","null","null"
"3000013181259","https://www.cdw.com/shop/products/Dell-Latitude-E7470-XCTO/4794419.aspx?pfm=srh","Dell Latitude E7470, XCTO","Dell","4794419","null","Call","$792.99","https://webobjects2.cdw.com/is/image/CDW/4589033?$product-main$","3000013181259.jpg","null","null","null","null"
"80US0000US","https://www.cdw.com/shop/products/LVO-N42-N3060-16GB-4GB-CHROME-BSTK/4812524.aspx?pfm=srh","LVO N42 N3060 16GB 4GB CHROME (BSTK)","Lenovo","4812524","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC14"" 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$165.99","https://webobjects2.cdw.com/is/image/CDW/4121400?$product-main$","80US0000US.jpg","9.1 in","0.9 in","3.31 lbs","13.1 in"
"MPXW2LL/A","https://www.cdw.com/shop/products/APPLE-MBP-13.3-SG-3.1GHZ-8GB-512GB/4841255.aspx?pfm=srh","APPLE MBP 13.3 SG 3.1GHZ 8GB 512GB (","Apple","4841255","Core i5 3.1 GHzOS X 10.13 Sierra8 GB RAM512 GB SSD13.3"" IPS 2560 x 1600 (WQXGA)Iris Plus Graphics 650Wi-Fi","$2,171.99","$1,932.99","https://webobjects2.cdw.com/is/image/CDW/4648182?$product-main$","MPXW2LL/A.jpg","8.4 in","0.6 in","3.02 lbs","12 in"
"3000012163874","https://www.cdw.com/shop/products/Dell-Latitude-5580/4818901.aspx?pfm=srh","Dell Latitude 5580","Dell","4818901","null","$3,451.99","$1,492.99","https://webobjects2.cdw.com/is/image/CDW/4544457?$product-main$","3000012163874.jpg","null","null","null","null"
"80UD00V1US","https://www.cdw.com/shop/products/LVO-IDEAPAD-110-I5-6200U-1TB-8GB-W10/4856429.aspx?pfm=srh","LVO IDEAPAD 110 I5-6200U 1TB 8GB W10","Lenovo","4856429","Core i5 6200U / 2.3 GHzWin 10 Home 64-bit8 GB RAM1 TB HDDDVD-Writer15.6"" TN 1366 x 768 (HD)HD Graphics 520","$501.99","$435.99","https://webobjects2.cdw.com/is/image/CDW/4749551?$product-main$","80UD00V1US.jpg","10.4 in","0.9 in","4.85 lbs","14.9 in"
"20HY0000US","https://www.cdw.com/shop/products/LVO-TP-11E-G4-N3450-32GB-4GB-CHROME/4835052.aspx?pfm=srh","LVO TP 11E G4 N3450 32GB 4GB CHROME","Lenovo","4835052","Flip designCeleron N3450 / 1.1 GHzChrome OS4 GB RAM32 GB eMMC11.6"" IPS touchscreen 1366 x 768 (HD)HD Graphics 500","$451.99","$389.99","https://webobjects2.cdw.com/is/image/CDW/4572514?$product-main$","20HY0000US.jpg","8.3 in","0.9 in","3.51 lbs","11.8 in"
"80YS0003US","https://www.cdw.com/shop/products/LVO-TP-N23-N3060-16GB-4GB-CHROME-BS/4841984.aspx?pfm=srh","LVO TP N23 N3060 16GB 4GB CHROME (BS","Lenovo","4841984","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" TN 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$197.99","https://webobjects2.cdw.com/is/image/CDW/4439334?$product-main$","80YS0003US.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
